tax_id,original_name,matched_candidate_name,matched_fein
0027,SUL ROSS STATE UNIVERSITY,,
0028,TA CHEN INTERNATIONAL INC,Ta Chen International Inc.,954230028
0028,SPRINGFIELD ANESTHESIA SERVICE INC,"Springfield Anesthesia Service, Inc",042390028
0028,MV CAPITAL GROUP LLC,MV Capital Group LLC,852640028
0028,RPLANET EARTH LOS ANGELES LLC,"rPlanet Earth Los Angeles, LLC",352540028
0028,ICONIC MANAGER LLC,,
0029,INLINE PHOTONICS INC,,
0029,MURPHY EXPLORATION AND PRODUCTION,Murphy Exploration & Production Company USA,470910029
0029,NOVUS ANALYTICAL TECHNOLOGIES INC,,
0029,CAHILL GORDON AND REINDEL LLP,Cahill Gordon & Reindel LLP,135510029
0029,MURPHY EXPLORATION & PRODUCTION COMPANY USA,Murphy Exploration & Production Company USA,470910029
0030,LOTUSDATA LLP,LotusData LLP,475220030
0030,AIRGO SYSTEMS LLC DBA DROV TECHNOL,"Airgo Systems, LLC",223890030
0030,INTEGRA LIFESCIENCES CORPORATION,Integra LifeSciences Corporation,223270030
0030,LOOMIS SAYLES AND COMPANY LP,"Loomis, Sayles & Company, LP",043200030
0030,FORMAGRID INC D B A AIRTABLE,Formagrid Inc.,462070030
0030,POSITIONING UNIVERSAL INC,POSITIONING UNIVERSAL INC.,463880030
0030,NORTHEAST INTERNAL MEDICINE ASSOCI,"Northeast Internal Medicine Associates, P.C.",352140030
0031,HITACHI DIGITAL SERVICES LLC,Hitachi Digital Services LLC,934210031
0031,MINTSOFT TECHNOLOGIES INC,Mintsoft Technologies Inc,843600031
0031,MAVEN LLC,,
0031,EBON TECHNOLOGY LLC,,
0031,THE QUANTAMENTAL INVESTMENT GROUP LLC,,
0031,APPLICATION RESEARCH CENTER LLC,Application Research Center LLC,200760031
0032,J F SHEA CO INC,,
0032,KLOUDFUSE INC,,
0032,HARDIN SCHOOL DISTRICTS 17H AND 1,,
0032,L AND F CEDARS TREE INTL TRADING INC,,
0033,MASS GENERAL BRIGHAM INCORPORATED,,
0033,DIAMOND ADVANEDGE INC,Diamond AdvanEdge Inc.,454230033
0033,JANE STREET GROUP LLC,"Jane Street Group, LLC",901010033
0033,MINARIS REGENERATIVE MEDICINE LLC,Minaris Regenerative Medicine LLC,223560033
0033,"SEBASTIAN FAMILY PSYCHOLOGY PRACTICE, LLC.","Sebastian Family Psychology Practice, LLC.",391940033
0033,DCLIMATE INC,,
0033,SOUTHWEST BEHAVORIAL HEALTH SERVICES,,
0033,TIGBHA CARE LLC DBA OMAK PHARMACY,,
0033,ZILLOW INC,"Zillow, Inc.",202000033
0034,THUNK AI,,
0034,BOSTON LIGHTHOUSE INNOVATIONS INC,"Boston Lighthouse Innovations, Inc.",815140034
0034,PURDUE PHARMACEUTICALS L P,Purdue Pharmaceuticals L.P.,134030034
0035,GLA ATL LLC DBA GEHEBER LEWIS ASSOCIATES,"GLA-ATL, LLC",582360035
0035,2RW CONSULTANTS INC,,
0035,MWA ARCHITECTS INC,"MWA Architects, Inc.",943070035
0035,GLA-ATL LLC,"GLA-ATL, LLC",582360035
0035,HORIZON SCIENCE ACADEMY-CINCINNATI,,
0035,TPS THAYER LLC,"TPS Thayer, LLC",844490035
0035,MASS GENERAL BRIGHAM INCORPORATED,,
0035,GRANADA INDEMNITY COMPANY,,
0035,OLIVE SUPERMARKET INC,,
0036,CITY OF SOUTH PORTLAND,,
0036,DUKE UNIVERSITY HEALTH SYSTEM INC,"Duke University Health System, Inc.",562070036
0036,YANFENG INTERNATIONAL AUTOMOTIVE T,,
0036,BERNSTEIN ROSEN COMPANY CPAS PC,,
0037,IKEGPS INC,,
0037,JURUPA UNIFIED SCHOOL DISTRICT,,
0037,LAVACA HOSPITAL DISTRICT,,
0038,I5 SOFT SOLUTIONS LIMITED.,,
0038,VMI SYSTEMS CORP,,
0038,NATIONAL INVENTORS HALL OF FAME IN,"National Inventors Hall of Fame, Inc.",341580038
0038,FIRST XI FOOTBALL LLC,First XI Football LLC,853510038
0038,ROMAN CATHOLIC BISHOP OF SANTA ROSA DBA DIOCESE OF SANTA ROSA,,
0038,P AND M LAW FIRM LLC D B A PINTAS,,
0038,PRIME FORTUNE LLC,,
0039,INTERNATIONAL CRISIS GROUP,,
0039,SAMSARA INC,Samsara Inc.,473100039
0039,SHUBHLAKSHMI CORP DBA PAULS FINE W,,
0040,BLOOMINGDALES LLC,Bloomingdale's LLC,311240040
0040,COUNTY OF BLAINE BLAINE COUNTY SCH,,
0040,SYNTHESIS INC DBA SWEISKLOSS,,
0040,CARAVELS LLC D/B/A GEORGIA TRANSFORMER CORP,Georgia Transformer Corp,472330040
0040,CARAVELS LLC DBA GEORGIA TRANSFORMER CORP,Georgia Transformer Corp,472330040
0040,SPECTRUM HEALTHCARE PARTNERS,,
0040,ROCKYSTONE ELECTRONICS LLC,,
0040,DRIVENETS INC,,
0040,ELECTRO-TECH SERVICES INC,ELECTRO-TECH SERVICES INC,611330040
0040,BLOOMINGDALE'S LLC,Bloomingdale's LLC,311240040
0040,ALLEGHENY E CONFERENCE CORP OF 7TH-DAY ADVENTISTS,,
0040,CARING HEALTH CENTER INC,,
0041,CARO HOME LLC,,
0041,ACCURAY INCORPORATED,Accuray Incorporated,208370041
0041,CREATIVE BIOGENE INC D B A CREATIV,Creative Biogene Inc.,815480041
0041,CELLULAR TECHNOLOGY LIMITED,Cellular Technology Limited,341870041
0041,RADIXLINK INC,Radixlink Inc,471740041
0041,BUTCHERBOX OPCO LLC,"ButcherBox OpCo, LLC",811450041
0041,FOGARTY FINGER ARCHITECTURE PLLC,FOGARTY FINGER ARCHITECTURE PLLC,352470041
0041,JOESTA CONSTRUCTION,,
0041,SELECT CS PHYSICAL THERAPY P C D B,"Select CS Physical Therapy, P.C.",863160041
0041,ICW GROUP HOLDINGS INC,ICW Group Holdings Inc.,952890041
0041,SAKSOL TECHNOLOGIES INC,SAKSOL TECHNOLOGIES INC,365050041
0042,UNIVERSITY OF NEW MEXICO,,
0042,PVR TECHNOLOGIES INC,"PVR Technologies, Inc.",412200042
0042,HARVARD ST NEIGHBORHOOD HLTH CTR,,
0042,NEW ENGLAND FERTILITY INSTITUTE LLC,Fora Fertility PLLC,850960042
0043,DARIGOLD INC,"Darigold, Inc.",910730043
0043,MACROSOFT INC,"Macrosoft, Inc.",223150043
0043,PAKAL TECHNOLOGIES INC,"Pakal Technologies, Inc.",823860043
0044,STUDIO COLLECTIVE LLC,,
0044,SWF FOOD CORP.  D/B/A FOODTOWN,SWF Food Corp.,113340044
0044,TELETRAC NAVMAN US LTD,,
0044,NUCOAT INC,,
0044,HESTI USA GROUP INC,,
0044,"AMERICAN CHINESE MUSEUM FOUNDATION, INC","American Chinese Museum Foundation, INC",853620044
0045,ENLIANT INC,Enliant Inc,463310045
0045,TIMEVALUE SOFTWARE INC,,
0045,MONTANA STATE UNIVERSITY,Montana State University,816010045
0046,SEMPLE MARCHAL & COOPER LLP,"Semple, Marchal & Cooper LLP",860750046
0046,PROVABLE INC F K A ALEO SYSTEMS IN,,
0046,K K SUBWAY INC,,
